,number,value,datetime_start,datetime_complete,duration,params_Layers Count,params_activation_layer_0,params_activation_layer_1,params_activation_layer_2,params_activation_layer_3,params_activation_layer_4,params_activation_layer_5,params_batch_size,params_epochs,params_filters_layer_0,params_filters_layer_1,params_filters_layer_2,params_filters_layer_3,params_filters_layer_4,params_filters_layer_5,params_kernel_size_layer_0,params_kernel_size_layer_1,params_kernel_size_layer_2,params_kernel_size_layer_3,params_kernel_size_layer_4,params_kernel_size_layer_5,params_layer_0,params_layer_1,params_layer_2,params_layer_3,params_layer_4,params_layer_5,params_learning_rate,params_optimizer,params_pool_size_layer_0,params_pool_size_layer_1,params_pool_size_layer_2,params_pool_size_layer_3,params_pool_size_layer_4,params_pool_size_layer_5,state
0,0,0.7883216738700867,2022-12-12 22:39:07.484813,2022-12-12 23:54:46.377848,0 days 01:15:38.893035,2,relu,tanh,,,,,120,70,64,165,,,,,7,1,,,,,31,101,,,,,0.002884958859018638,rmsprop,4,8,,,,,COMPLETE
1,1,0.7255740165710449,2022-12-12 22:39:07.489817,2022-12-13 01:28:35.381802,0 days 02:49:27.891985,3,tanh,tanh,relu,,,,17,37,146,72,99.0,,,,4,3,5.0,,,,70,40,22.0,,,,0.007553723045785977,adam,7,8,4.0,,,,COMPLETE
2,2,0.7721651554107666,2022-12-12 22:39:07.495417,2022-12-13 00:02:59.738167,0 days 01:23:52.242750,2,relu,tanh,,,,,107,85,58,35,,,,,8,4,,,,,192,155,,,,,0.005033984387700362,rmsprop,8,3,,,,,COMPLETE
3,3,0.7427540302276612,2022-12-12 22:39:07.501425,2022-12-12 23:23:15.624468,0 days 00:44:08.123043,6,relu,tanh,tanh,relu,relu,relu,68,28,52,145,125.0,189.0,116.0,159.0,7,3,9.0,9.0,9.0,3.0,128,124,151.0,114.0,140.0,169.0,0.005818178224219741,sgd,10,9,5.0,1.0,5.0,9.0,COMPLETE
4,4,0.7228718996047974,2022-12-12 22:39:07.506963,2022-12-13 01:13:06.256721,0 days 02:33:58.749758,3,tanh,relu,relu,,,,69,79,125,174,23.0,,,,4,7,6.0,,,,36,25,158.0,,,,0.004098260173205013,sgd,8,8,10.0,,,,COMPLETE
5,5,0.7267397284507752,2022-12-12 22:39:07.510974,2022-12-13 00:13:07.059327,0 days 01:33:59.548353,4,relu,relu,tanh,relu,,,67,46,77,190,46.0,83.0,,,3,10,4.0,2.0,,,99,195,84.0,33.0,,,0.009646704227588959,rmsprop,8,3,7.0,7.0,,,COMPLETE
6,6,0.7746967673301697,2022-12-12 22:39:07.518948,2022-12-13 00:48:57.174157,0 days 02:09:49.655209,5,relu,relu,relu,tanh,relu,,108,68,180,187,144.0,31.0,116.0,,4,5,2.0,9.0,5.0,,172,58,25.0,18.0,23.0,,0.001969074371829726,adam,10,8,7.0,2.0,1.0,,COMPLETE
7,7,0.7580848217010498,2022-12-12 22:39:07.522250,2022-12-12 22:59:38.456089,0 days 00:20:30.933839,6,tanh,tanh,tanh,tanh,tanh,relu,119,21,73,40,158.0,125.0,41.0,137.0,9,5,7.0,6.0,7.0,8.0,83,43,24.0,191.0,35.0,195.0,0.004701803385126543,adam,2,1,2.0,7.0,9.0,7.0,COMPLETE
8,8,0.8298506259918212,2022-12-12 22:59:38.462767,2022-12-13 01:33:08.187292,0 days 02:33:29.724525,2,relu,tanh,,,,,93,73,140,128,,,,,7,7,,,,,23,133,,,,,0.006679385448500152,adam,3,4,,,,,COMPLETE
9,9,0.7605884909629822,2022-12-12 23:23:15.630470,2022-12-13 02:35:09.680223,0 days 03:11:54.049753,4,tanh,relu,relu,tanh,,,74,81,117,120,50.0,148.0,,,6,3,2.0,5.0,,,80,45,160.0,25.0,,,0.003419102201520755,rmsprop,1,6,8.0,6.0,,,COMPLETE
